title,description,location,url,points
"OOF, Covid!",Where yer darn mask kids. We don't need Covid hanging around any longer than it should be!,N/A,https://www.youtube.com/watch?v=MUINFs1Sp94&feature=youtu.be,1
Westy Slippy,Welcome to Western: where the sidewalks are never salted and you can skate around campus,N/A,https://www.youtube.com/watch?v=8nHnQQhWQVA&feature=youtu.be,1
Why Purple?,"In 1863, the British Royal Navy issued a memorandum assigning coloured patches to departments of workers; the engineers were assigned purple. The engineers worked primarily in the boiler rooms of ships, where the heat was so intense that the colour from the purple stripes/batches would bleed onto their skin, staining it purple. It is said that the engineers aboard the Titanic wore purple coveralls, and as the ship sank, they remained in the engine rooms to keep the furnaces going creating a smoke signal so that rescue boats would arrive. None of the engineers left the ship; they sacrificed their lives to save others. The reason that engineers dye themselves purple is to remember and honour past engineers who have sacrificed their lives in the service of others.

If anyone ever asks why you’re purple... what purple?
",N/A,https://www.youtube.com/watch?v=3m5qxZm_JqM,1
Iron Rings?,"The original iron rings were made from the iron used to build a bridge outside of Quebce that collapsed due to an engineering error, killing 75 people. This is a sacred tradition that we still honour today.",N/A,https://www.youtube.com/watch?v=xuCn8ux2gbs,1
"Watch, don't skip",The ending will surprise you.,N/A,https://www.youtube.com/watch?v=o0u4M6vppCI,1
Bananananana,Okay do the maths: how fast is The Banana travelling,N/A,https://www.youtube.com/watch?v=paMantiqs54,1
Sprots,"Engineers love sprots. throwing sprots, running sprots, jumping sprots, fidnis!!!",N/A,https://www.youtube.com/watch?v=Y2vS8dPMR2U,1
Yeezy2020,Fuck you're on your phone? Get your laptop out,N/A,http://www.kanyezone.com/,1
Next-Gen Tech,This is some seriously badass technology you NEED to checkout,N/A,http://www.isitdarkoutside.com/,1
Hoe-Hoe-Hoe,How long until my favourite day of the year that makes my tummy feel all special <3,N/A,https://isitchristmas.com/,1
BUFFALO,"Always, always, always drink using your non-dominant hand. Every engineer must abide by the rules of Buffalo for the rest of their life",N/A,http://www.hasthelargehadroncolliderdestroyedtheworldyet.com/,1
Cover Yer Hole,"At any gatherings, always be aware of stray pong balls landing in your cup. If one is sunk, you are ablidged to finish your beverage while the party chants a special song",N/A,https://www.howmanypeopleareinspacerightnow.com/,1
Our Mascot,"The Ancient And Mystical Jewel Encrusted Slide Rule, or TAAMJESR for short. You will learn more in due time but for now: SHUT UP.",N/A,http://www.ismycomputeron.com/,1
Pop Quiz Hot Shot,"If your mom is your dad and your uncle is your cousin, then who really is the man in the mask?",N/A,http://www.koalastothemax.com/,1
SPELLING BEE,"Enjineering? Enginering? Eengeneiring? Fuck it, I'm good at building things.",N/A,https://pointerpointer.com/,1
Pronks?,It's something we do. It's something we're pretty good at too. REMEMBER: they have to be funny AND reversible otherwise they suck.,N/A,https://twitter.com/westernulibsarc/status/521996207066206208,1
Bees,Bees? Bees. Save them.,N/A,http://beesbeesbees.com/,1
Crunchy,Bread < Toast < _______,N/A,https://crouton.net/,1
Meow,"Be good to your aminals, but not dees ones. Bounce bounce kitty bounce meow rawr",N/A,https://cat-bounce.com/,1
Actually Useful,Refresh refresh refresh,N/A,http://randomcolour.com/,1
Jackpot,"The mother of all aliens, congratulations, enjoy your prize",N/A,http://www.patience-is-a-virtue.org/,1
Yom,Y'know what I could go for right now?,N/A,http://corndog.io/,1
$$$,Buy buy buy!!!!!! The sale of a lifetime,N/A,https://weirdorconfusing.com/,1
Neeeeiiiiiiiigggggghhhhhhh,"Horses is majestic, mm beautiful, much length",N/A,http://endless.horse/,1
Smash,Let your anger run free,N/A,https://smashthewalls.com/,1
ArtArtArt,What's a seal's favourite subject?,N/A,https://jacksonpollock.org/,1
Clickity,Clackity,N/A,http://www.hackertyper.com/,1
Inner Peace,"ohhmmmmmmmmmmm's law, ohhhmmmmmmmmm's law",N/A,https://thezen.zone/games,1
Vegetable,Stay healthy kids,N/A,http://potatoortomato.com/,1
How many?,"One, just on almond, that is all",N/A,https://onealmond.com/,1
Hallucinate,"Do as it says, trip for free, no weird side effects (that we know of)",N/A,https://strobe.cool/,1
Monkeh,Take it easy maaaaaaaannnnnn. Bookmark for exam season,N/A,http://chillestmonkey.com/,1
Fuqya,"Buy sunglasses, gain respect",N/A,https://pitvipersunglasses.com/,1
EMERGENCY,"Just in case, we gotchu",N/A,https://randomthingstodo.com/13-things-to-do-if-you-suddenly-get-turned-into-stone,1
Test,"Don't crack under pressure, 50/50",N/A,http://ikeaordeath.com/,1
Capybara,"Capy here, capy there, capy capy everywhere!!",N/A,https://mattround.com/capy-tv/,1
